benchmark	category	status	shift_add	comba_cs	p2_algebraic	bitwuzla	cvc5
bitwidth-16-degree-24-seed-23-addition-original-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-23-seed-23-multiplication-original-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-23-seed-23-multiplication-reduced-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-23-seed-23-multiplication-reduced-native-encoding	multiplication	unsat					
bitwidth-16-degree-24-seed-23-bounding-original-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-24-seed-23-bounding-reduced-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-24-seed-23-addition-original-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-24-seed-23-addition-reduced-native-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-24-seed-23-equality-original-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-24-seed-23-equality-reduced-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-24-seed-23-identity-point-original-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-24-seed-23-addition-reduced-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-24-seed-23-identity-point-reduced-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-24-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	correctness	unsat			unsat		
bitwidth-16-degree-24-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat				unsat	unsat
bitwidth-16-degree-24-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-24-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-24-seed-23-equality-original-subpolynomial-encoding	equality	NA				unsat	unsat
bitwidth-16-degree-24-seed-23-identity-point-original-subpolynomial-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-24-seed-23-equality-reduced-subpolynomial-encoding	equality	NA				unsat	unsat
bitwidth-16-degree-24-seed-23-correctness-reduced-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-24-seed-23-identity-point-reduced-subpolynomial-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-24-seed-23-root-finding-original-native-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-24-seed-23-nonequality-original-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-24-seed-23-root-finding-reduced-native-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-24-seed-23-nonequality-reduced-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-24-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-24-seed-23-multiplication-original-native-encoding	multiplication	unsat			unsat	unsat	
bitwidth-16-degree-24-seed-23-multiplication-original-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-24-seed-23-root-finding-original-subpolynomial-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-24-seed-23-nonequality-original-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-25-seed-23-bounding-original-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-24-seed-23-root-finding-reduced-subpolynomial-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-25-seed-23-bounding-reduced-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-24-seed-23-multiplication-reduced-native-encoding	multiplication	unsat			unsat		
bitwidth-16-degree-24-seed-23-nonequality-reduced-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-25-seed-23-addition-original-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-24-seed-23-multiplication-reduced-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-25-seed-23-addition-reduced-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-25-seed-23-bounding-original-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-25-seed-23-bounding-reduced-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-25-seed-23-equality-original-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-25-seed-23-equality-reduced-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-25-seed-23-addition-original-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-25-seed-23-identity-point-original-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-25-seed-23-addition-reduced-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-25-seed-23-identity-point-reduced-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-25-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat				unsat	unsat
bitwidth-16-degree-25-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	correctness	unsat			unsat		
bitwidth-16-degree-25-seed-23-identity-point-original-subpolynomial-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-25-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-25-seed-23-equality-original-subpolynomial-encoding	equality	NA				unsat	unsat
bitwidth-16-degree-25-seed-23-equality-reduced-subpolynomial-encoding	equality	NA				unsat	unsat
bitwidth-16-degree-25-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-25-seed-23-correctness-reduced-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-25-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-25-seed-23-identity-point-reduced-subpolynomial-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-25-seed-23-root-finding-original-native-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-25-seed-23-root-finding-reduced-native-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-25-seed-23-nonequality-original-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-25-seed-23-nonequality-reduced-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-25-seed-23-multiplication-original-native-encoding	multiplication	unsat			unsat	unsat	
bitwidth-16-degree-25-seed-23-root-finding-original-subpolynomial-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-25-seed-23-root-finding-reduced-subpolynomial-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-26-seed-23-bounding-original-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-26-seed-23-addition-original-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-25-seed-23-nonequality-original-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-26-seed-23-bounding-reduced-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-25-seed-23-nonequality-reduced-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-25-seed-23-multiplication-reduced-native-encoding	multiplication	unsat			unsat		
bitwidth-16-degree-25-seed-23-multiplication-original-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-25-seed-23-multiplication-reduced-subpolynomial-encoding	multiplication	unsat				unsat	
bitwidth-16-degree-26-seed-23-bounding-original-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-26-seed-23-bounding-reduced-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-26-seed-23-addition-original-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-26-seed-23-addition-reduced-native-encoding	addition	unsat			unsat	unsat	
bitwidth-16-degree-26-seed-23-equality-reduced-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-26-seed-23-equality-original-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-26-seed-23-identity-point-original-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-26-seed-23-addition-reduced-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-26-seed-23-identity-point-reduced-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-26-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat				unsat	unsat
bitwidth-16-degree-26-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	correctness	unsat			unsat		
bitwidth-16-degree-26-seed-23-identity-point-original-subpolynomial-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-26-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-26-seed-23-equality-original-subpolynomial-encoding	equality	NA				unsat	unsat
bitwidth-16-degree-26-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-26-seed-23-equality-reduced-subpolynomial-encoding	equality	NA				unsat	unsat
bitwidth-16-degree-26-seed-23-identity-point-reduced-subpolynomial-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-26-seed-23-nonequality-original-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-26-seed-23-correctness-reduced-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-26-seed-23-nonequality-reduced-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-26-seed-23-root-finding-original-native-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-26-seed-23-root-finding-reduced-native-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-26-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-26-seed-23-multiplication-original-native-encoding	multiplication	unsat			unsat	unsat	
bitwidth-16-degree-26-seed-23-nonequality-original-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-26-seed-23-root-finding-original-subpolynomial-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-26-seed-23-root-finding-reduced-subpolynomial-encoding	root-finding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-bounding-original-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-26-seed-23-multiplication-reduced-native-encoding	multiplication	unsat			unsat		
bitwidth-16-degree-27-seed-23-bounding-reduced-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-addition-original-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-26-seed-23-multiplication-original-subpolynomial-encoding	multiplication	unsat				unsat	
bitwidth-16-degree-26-seed-23-nonequality-reduced-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-26-seed-23-multiplication-reduced-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-27-seed-23-bounding-original-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-bounding-reduced-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-equality-original-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-27-seed-23-addition-original-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-27-seed-23-equality-reduced-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-27-seed-23-addition-reduced-native-encoding	addition	unsat				unsat	
bitwidth-16-degree-27-seed-23-identity-point-original-native-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat				unsat	unsat
bitwidth-16-degree-27-seed-23-identity-point-reduced-native-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-addition-reduced-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-27-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	correctness	unsat			unsat		
bitwidth-16-degree-27-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-27-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-27-seed-23-equality-original-subpolynomial-encoding	equality	NA				unsat	unsat
bitwidth-16-degree-27-seed-23-identity-point-original-subpolynomial-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-identity-point-reduced-subpolynomial-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-equality-reduced-subpolynomial-encoding	equality	NA				unsat	unsat
bitwidth-16-degree-27-seed-23-correctness-reduced-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-27-seed-23-root-finding-original-native-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-27-seed-23-nonequality-original-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-27-seed-23-nonequality-reduced-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-27-seed-23-root-finding-reduced-native-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-27-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-27-seed-23-multiplication-original-native-encoding	multiplication	unsat			unsat	unsat	
bitwidth-16-degree-27-seed-23-multiplication-original-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-27-seed-23-root-finding-original-subpolynomial-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-28-seed-23-bounding-original-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-root-finding-reduced-subpolynomial-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-27-seed-23-nonequality-original-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-28-seed-23-bounding-reduced-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-27-seed-23-nonequality-reduced-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-28-seed-23-addition-original-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-27-seed-23-multiplication-reduced-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-27-seed-23-multiplication-reduced-native-encoding	multiplication	unsat			unsat		
bitwidth-16-degree-28-seed-23-bounding-original-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-bounding-reduced-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-equality-original-native-encoding	equality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-addition-original-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-28-seed-23-equality-reduced-native-encoding	equality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-addition-reduced-native-encoding	addition	unsat				unsat	
bitwidth-16-degree-28-seed-23-identity-point-original-native-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-addition-reduced-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-28-seed-23-identity-point-reduced-native-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat				unsat	unsat
bitwidth-16-degree-28-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	correctness	unsat			unsat		
bitwidth-16-degree-28-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-28-seed-23-identity-point-original-subpolynomial-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-28-seed-23-equality-original-subpolynomial-encoding	equality	NA				sat	sat
bitwidth-16-degree-28-seed-23-correctness-reduced-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-28-seed-23-identity-point-reduced-subpolynomial-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-equality-reduced-subpolynomial-encoding	equality	NA				sat	sat
bitwidth-16-degree-28-seed-23-root-finding-original-native-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-28-seed-23-nonequality-original-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-28-seed-23-root-finding-reduced-native-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-28-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-28-seed-23-nonequality-reduced-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-28-seed-23-multiplication-original-native-encoding	multiplication	unsat			unsat	unsat	
bitwidth-16-degree-28-seed-23-root-finding-original-subpolynomial-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-28-seed-23-nonequality-original-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-28-seed-23-root-finding-reduced-subpolynomial-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-29-seed-23-bounding-original-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-bounding-reduced-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-28-seed-23-multiplication-original-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-29-seed-23-addition-original-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-28-seed-23-nonequality-reduced-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-28-seed-23-multiplication-reduced-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-28-seed-23-multiplication-reduced-native-encoding	multiplication	unsat					
bitwidth-16-degree-29-seed-23-bounding-original-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-bounding-reduced-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-addition-original-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-29-seed-23-equality-original-native-encoding	equality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-equality-reduced-native-encoding	equality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-addition-reduced-native-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-29-seed-23-identity-point-original-native-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-addition-reduced-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-29-seed-23-identity-point-reduced-native-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	correctness	unsat			unsat		
bitwidth-16-degree-29-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat				unsat	unsat
bitwidth-16-degree-29-seed-23-identity-point-original-subpolynomial-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-29-seed-23-equality-original-subpolynomial-encoding	equality	NA				sat	sat
bitwidth-16-degree-29-seed-23-identity-point-reduced-subpolynomial-encoding	identity-point	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-29-seed-23-equality-reduced-subpolynomial-encoding	equality	NA				sat	sat
bitwidth-16-degree-29-seed-23-correctness-reduced-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-29-seed-23-nonequality-reduced-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-29-seed-23-nonequality-original-native-encoding	nonequality	NA	sat	sat		sat	sat
bitwidth-16-degree-29-seed-23-root-finding-reduced-native-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-29-seed-23-root-finding-original-native-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-29-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat					
bitwidth-16-degree-29-seed-23-multiplication-original-native-encoding	multiplication	unsat			unsat	unsat	
bitwidth-16-degree-29-seed-23-nonequality-original-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-29-seed-23-root-finding-reduced-subpolynomial-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-bounding-original-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-29-seed-23-root-finding-original-subpolynomial-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-bounding-reduced-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-bounding-original-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-bounding-reduced-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-addition-original-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-29-seed-23-nonequality-reduced-subpolynomial-encoding	nonequality	NA				sat	sat
bitwidth-16-degree-3-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-29-seed-23-multiplication-original-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-29-seed-23-multiplication-reduced-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-3-seed-23-equality-original-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-equality-original-subpolynomial-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-equality-reduced-native-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-addition-reduced-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-identity-point-original-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-identity-point-original-subpolynomial-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-identity-point-reduced-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-correctness-original-native-encoding-vs-reduced-native-encoding	correctness	unsat	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-identity-point-reduced-subpolynomial-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-29-seed-23-multiplication-reduced-native-encoding	multiplication	unsat					
bitwidth-16-degree-3-seed-23-equality-reduced-subpolynomial-encoding	equality	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-addition-original-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-3-seed-23-nonequality-original-native-encoding	nonequality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-nonequality-original-subpolynomial-encoding	nonequality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-nonequality-reduced-native-encoding	nonequality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-nonequality-reduced-subpolynomial-encoding	nonequality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-root-finding-original-native-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-root-finding-original-subpolynomial-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-root-finding-reduced-native-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-addition-reduced-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-3-seed-23-root-finding-reduced-subpolynomial-encoding	root-finding	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-3-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat	unsat	unsat		unsat	unsat
bitwidth-16-degree-3-seed-23-multiplication-original-native-encoding	multiplication	unsat			unsat	unsat	
bitwidth-16-degree-3-seed-23-correctness-original-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat	unsat	unsat		unsat	unsat
bitwidth-16-degree-3-seed-23-multiplication-reduced-native-encoding	multiplication	unsat			unsat	unsat	
bitwidth-16-degree-30-seed-23-bounding-original-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-correctness-reduced-native-encoding-vs-original-subpolynomial-encoding	correctness	unsat	unsat	unsat		unsat	unsat
bitwidth-16-degree-30-seed-23-bounding-reduced-native-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-3-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat	unsat	unsat		unsat	unsat
bitwidth-16-degree-3-seed-23-multiplication-original-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-3-seed-23-multiplication-reduced-subpolynomial-encoding	multiplication	unsat				unsat	unsat
bitwidth-16-degree-30-seed-23-addition-original-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-30-seed-23-bounding-reduced-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-30-seed-23-addition-reduced-native-encoding	addition	unsat			unsat	unsat	unsat
bitwidth-16-degree-30-seed-23-bounding-original-subpolynomial-encoding	bounding	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-30-seed-23-addition-original-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-30-seed-23-addition-reduced-subpolynomial-encoding	addition	unsat				unsat	unsat
bitwidth-16-degree-30-seed-23-equality-reduced-native-encoding	equality	NA	sat	sat	sat	sat	sat
bitwidth-16-degree-30-seed-23-identity-point-original-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
bitwidth-16-degree-30-seed-23-correctness-original-subpolynomial-encoding-vs-reduced-subpolynomial-encoding	correctness	unsat				unsat	unsat
bitwidth-16-degree-30-seed-23-identity-point-reduced-native-encoding	identity-point	NA	unsat	unsat	unsat	unsat	unsat
